act_type,b_conv,b_fc,batch_size,best_epoch,best_iter,best_valid_accy,kp_conv,kp_fc,learn_rate,norm_type,run_time
tanh,0.001,0.001,256,38,5168,0.9619047613911618,1.0,0.5,0.001,MaxScaleMinusMean,3.1590886235237123
tanh,0.0,0.001,256,44,5984,0.9614512471655329,1.0,0.5,0.001,MaxScaleMinusMean,3.5171984672546386
