Layer,Description
Input,32x32x3 RGB Image
Convolution 5x5,"1x1 stride, valid padding, outputs 28x28x6"
tanh,
Max Pooling,"2x2 stride,  outputs 14x14x6"
Convolution 5x5,"1x1 stride, valid padding, outputs 10x10x16"
tanh,
Max Pooling,"2x2 stride, outputs 5x5x16"
Flatten,outputs 400
Fully Connected,outputs 120
Fully Connected,outputs 84
Fully Connected,outputs 43 (the number of classes)
Softmax,For training; not necessary for classifier deployment if probabilities are not required
